movie_id,title,tags,cluster_label
19995,Avatar,"in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. avatar action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d ingeni film partner twentieth centuri fox film corpor dune entertain lightstorm entertain samworthington zoesaldana sigourneyweav stephenlang michellerodriguez giovanniribisi joeldavidmoor cchpounder wesstudi lazalonso dileeprao mattgerald seananthonymoran jasonwhyt scottlawr kellykilgour jamespatrickpitt seanpatrickmurphi peterdillon kevindorman kelsonhenderson davidvanhorn jacobtomuri michaelblain-rozgay joncurri lukehawk woodyschultz petermensah soniay jahnelcurfman ilramchoi kylawarren lisaroumain debrawilson chrismala taylorkibbi jodielandau julielamm cullenb.madden josephbradymadden frankietorr austinwilson sarawilson tamicawashington-mil lucybri nathanmeist gerryblair matthewchamberlain paulyat wraywilson jamesgaylyn melvinlenoclarkiii carvonfutrel brandonjelk micahmoch hanniyahmuhammad christophernolen christaoliv aprilmariethoma bravitaa.threatt colinbleasd mikebodnar mattclayton nicoledionn jamieharrison allanhenri anthonyingrub ashleyjefferi deanknowsley josephmika-hunt terrynotari kaipantano loganpithi stuartpollock raja garethruck rhiansheehan t.j.storm jodietaylor aliciavela-bailey richardwhitesid nikiezambo juleneren jamescameron jonlandau",144
285,Pirates of the Caribbean: At World's End,"captain barbossa, long believ to be dead, ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems. pirat of the caribbean: at world' end adventur fantasi action ocean drugabu exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditsst walt disney pictur jerri bruckheim film second mate product johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat billnighi geoffreyrush jackdavenport kevinmcn tomholland naomieharri jonathanpryc keithrichard leearenberg mackenziecrook gregelli davidbaili martinklebba davidschofield laurenmah vanessabranch angusbarnett gilesnew reggiel dominicscottkay takayofisch davidmeuni ho-kwant andybeckwith peterdonaldbadalamentiii christophers.capp keithrichard hakeemkae-kazim ghassanmassoud goreverbinski jerrybruckheim ericmcleod chadoman peterkohn patsandston",76
206647,Spectre,"a cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while m battl polit forc to keep the secret servic alive, bond peel back the layer of deceit to reveal the terribl truth behind spectre. spectr action adventur crime spi basedonnovel secretag sequel mi6 britishsecretserv unitedkingdom columbia pictur danjaq b24 danielcraig christophwaltz léaseydoux ralphfienn monicabellucci benwhishaw naomieharri davebautista andrewscott rorykinnear jesperchristensen alessandrocremona stephaniesigman tenochhuerta adrianapaz domenicofortunato marcozingaro stefanoelfidiclaudia ianbonar tamwilliam richardbanham pipcart simonlenagan alessandrobressanello marczinga brigittemillar adelbencherif gediminasadoma peppelanzetta francescoarca matteotaranto emilioaniba benitosagredo daitabuchi georgelasha sargonyelda andycheung erickhayden olegmirochnikov antoniosalin miloudmouradbenamara gidoschimanski nigelbarb patricenaiambana stephanecornicard garyfannin sadaoueda philliplaw waiwong josephbalderrama eijimihara junichikajioka victorschefé haraldwindisch tristanmatthia detlefboth bodofrieseck wilhemiben noemikrausz noahsaavedra francisattakpah michaelglantschnig marlonboess mariewohlmuth lilieppli konstantingerlach laraparmiani umitulgen amramallassi ziadabaza walidmumuni derekhorsham nariblair-mangat michaelwhit adammcgradi naderdernaika pezhmaanalinia judidench nevegachev karlfarr kimadi maurisaselenecoleman matijamondimatović sammend barbarabroccoli michaelg.wilson",45
49529,John Carter,"john carter is a war-weary, former militari captain who' inexpl transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. it' a world on the brink of collapse, and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands. john carter action adventur sciencefict basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d walt disney pictur taylorkitsch lynncollin samanthamorton willemdafo thomashadenchurch markstrong ciaránhind dominicwest jamespurefoy bryancranston pollywalk darylsabara arkiereec davoodghadami pippanixon jamesembr philipphilmar emilytierney edmundk nicholaswoodeson kyleagnew donstark joshdaugherti jaredcyr christophergoodman amandaclayton josephbillingi andrewstanton colinwilson jimmorri lindseycollin",127
559,Spider-Man 3,"the seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organism, hi alter ego, peter parker, deal with nemesi eddi brock and also get caught up in a love triangle. spider-man 3 fantasi action adventur dualid amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng columbia pictur laura ziskin product marvel enterpri tobeymaguir kirstendunst jamesfranco thomashadenchurch tophergrac brycedallashoward rosemaryharri jamescromwel j.k.simmon theresarussel dylanbak billnunn elizabethbank tedraimi perlahaney-jardin willemdafo cliffrobertson elyabaskin mageinatovah michaelpapajohn joemanganiello stanl brucecampbel christopheryoung grantcurti danielgilli johnpaxton beckyannbak stevevalentin halfishman lucygordon toniwynn andreb.blak timmaculan marcvann joebay greggdaniel rogeliot.ramo timothypatrickquil kathrynbryd joevirzi bille.rog michaelalexand aprilparker-jon edwardpadilla robertcurtisbrown paulterrellclayton carolynneff christinacindrich sonyamaddox derrick'phoenix'thoma jessicollin michaelmclaughlin annegartlan emiliorivera keithwoulard reynaldogallego jimcoop deanedward margaretlaney aimeemil tanyabond markkubr tonybesson ramonadam a.j.adelman angelisalexandri dawnmarieanderson frankanello anyaavaeva davidbacku tiffanyl.bak marcc.cancassi sujeileecandel michaelciesla irinacosta johncrann crystalmariedenha amyv.dewhurst pauledney nataliefabri keithfausnaught amandaflorian briannaleannflorian tiffanyashleyflorian shaunpatrickflynn loganfri kevinfung tonygaltieri chuckgerena brianhopson claudejay juliejei andrewjamesjon nataliejon christopherjud brittanykr alyssalakota tialatrel lindal pierangelillina bernadettelord sandrinemarli lauramcdavid nataliemcneil danielmignault marthamillan michele-nanettemil claudiakatzminnick robertmi josepho'brien jenoda anjeliapelay nickpoltoranin vanessareseland lariv briarobert luisrosa vanessaross brennaroth shaderup aricksalmea ericshackelford danielshaf abbeyskinn kristinsomo jenniferspark christopherstaduli jimmystar arnestarr liamston tajnatanov aijaterauda brigidturn evelynvaccaro nickvlassopoulo sincerelya.ward silqwebst graigf.weich fredrickweiss jenniferweston trentonwilley raywinet samraimi lauraziskin aviarad grantcurti",46
38757,Tangled,"when the kingdom' most wanted-and most charming-bandit flynn rider hide out in a mysteri tower, he' taken hostag by rapunzel, a beauti and feisti tower-bound teen with 70 feet of magical, golden hair. flynn' curiou captor, who' look for her ticket out of the tower where she' been lock away for years, strike a deal with the handsom thief and the unlik duo set off on an action-pack escapade, complet with a super-cop horse, an over-protect chameleon and a gruff gang of pub thugs. tangl anim famili hostag magic hor fairyt music princess anim tower blondewoman selfish healingpow basedonfairyt duringcreditsst healinggift animalsidekick walt disney pictur walt disney anim studio zacharylevi mandymoor donnamurphi ronperlman m.c.gainey jeffreytambor bradgarrett paulf.tompkin richardkiel delaneyrosestein nathangreno byronhoward timmerten royconli byronhoward nathangreno",198
99861,Avengers: Age of Ultron,"when toni stark tri to jumpstart a dormant peacekeep program, thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. as the villain ultron emerges, it is up to the aveng to stop him from enact hi terribl plans, and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure. avengers: age of ultron action adventur sciencefict marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditsst marvelcinematicuniv 3d marvel studio prime focu revolut sun studio robertdowneyjr. chrishemsworth markruffalo chrisevan scarlettjohansson jeremyrenn jamesspad samuell.jackson doncheadl aarontaylor-johnson elizabetholsen paulbettani cobiesmuld anthonymacki hayleyatwel idriselba lindacardellini stellanskarsgård claudiakim thomaskretschmann andyserki juliedelpi stanl henrygoodman chrisluca brianschaeff dominiqueprovost-chalkley isaacandrew garethkieranjon chanwoolim minheeyeo bentleykalu julianbleach christopherbeasley vuyodabula nondumisotemb kabelothai leleleowaba mandlagaduka harrietmanamela beulahhash muscakumalo mathapeloseptemb antonyacheampong chiomaanyanwu bensakamoto imogenpoynton isabellapoynton ingvilddeila sunnyyeo namjugo minakweon earlt.kim arthurl verityhewlett michaelmatovski almanoc riccardorichetta constanzaruff montymclaren-clark juliakrynk tonychristensen iankay barryaird aaronhimelstein kerrycondon jaidenstafford dilyanabouklieva joshbrolin jotinagra nickw.nicholson danielwestwood kevinfeig josswhedon",308
767,Harry Potter and the Half-Blood Prince,"as harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past. harri potter and the half-blood princ adventur fantasi famili witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf warner bros. heyday film danielradcliff rupertgrint emmawatson tomfelton michaelgambon jimbroadb helenabonhamcart robbiecoltran maggiesmith alanrickman timothysp davidthewli juliewalt matthewlewi evannalynch bonniewright oliverphelp jamesphelp markwilliam warwickdavi nataliatena katieleung davelegeno geraldinesomervil helenmccrori freddiestroma davidbradley frankdillan herofiennes-tiffin gemmajon afshanazad shefalichowdhuri georginaleonida devonmurray annashaff joshherdman jamiewaylett scarlettbyrn jessiecav louiscord alfieenoch robertknox williammel paulritt isabellalaughland ralphineson suzannetoa rodhunt elaricagallach davidheyman davidi davidbarron timlewi",267
209112,Batman v Superman: Dawn of Justice,"fear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigil take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before. batman v superman: dawn of justic action adventur fantasi dccomic vigil superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendeduniv dc comic atla entertain warner bros. dc entertain cruel & unusu film ratpac-dun entertain benaffleck henrycavil galgadot amyadam jesseeisenberg dianelan jeremyiron laurencefishburn hollyhunt scootmcnairi callanmulvey taookamoto jenamalon brandonspink laurencohan hughmaguir michaelcassidi aland.purwin danamboy rebeccabul harrylennix christinawren jadechynoweth chadkrowchuk kevincostn ezramil patrickwilson michaelshannon charliero vikramgandhi andrewsullivan neildegrassetyson jonstewart soledado'brien erikar.erickson danabash nancygrac andersoncoop brookebaldwin carlagugino jasonmomoa joemorton rayfish josephcranford emilypeterson jeffreydeanmorgan sammirotibi hannadworkin tiffanyl.addison owaisahm anishjethmalani tiffanybedwel nataleearteaga keithd.gallagh jeffduma miriaml aliciaregan stephaniekoenig ripleysobo richardburden juliustennon wunmimosaku dennisnorth kiffvandenheuvel masonheidg ahneyh kristinecabanban sebastiansozzi kentshocknek ralphlist sammya.publ jayr.adam davidmidura jaytow michaelellison kirillostapenko rashontaewawrzyniak tomluginbil davepasch dannymooney henryfrostiii nicoleforest debbiestabenow milicagovich johnlepard sandralovealdridg grahamw.j.b henrifranklin jonathanwest t.j.martinelli chrisnewman luludahl samlogankhaleghi annemariedamman conniecraig henriettahermelin patrickleahi albertvalladar davidpari abigailkukli gregvioland tirenjham stevejasgur jonathanstanley jessenagi duvalemurchison thomasj.fentress coburngoss jeffhanlin garya.heck robinatkindown issacryanbrown bartonbund baileycha patricko'connorcronin sonjacrosbi c.t.fletcher ahmangreen dianagaitirira jalenemack esodiegeig nenenwoko scottedwardlogan marcusgoddard cruzgonzalez-cadel almamartinez sallopez marcelshihadeh theobonganindyalvan satorishakoor elebardha inderkumar brandonbautista lauraatwood debbiescaletta davidleach gordonmichael brianboland taraslo jasonhughley sidihenderson meighangerachi nicolesantini axelharney waynee.brown dantebriggin shannongarnett lynchr.travi carmengang joecipriano willblagrov marcelobem charlesroven zacksnyd deborahsnyd",337
1452,Superman Returns,"superman return to discov hi 5-year absenc ha allow lex luthor to walk free, and that those he wa closest too felt abandon and have move on. luthor plot hi ultim reveng that could see million kill and chang the face of the planet forever, as well as rid himself of the man of steel. superman return adventur fantasi action sciencefict savingtheworld dccomic invuln sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor dc comic legendari pictur warner bros. bad hat harri product brandonrouth kevinspacey katebosworth jamesmarsden parkerposey franklangella samhuntington evamariesaint marlonbrando kalpenn tristanlakeleabu davidfabrizio ianrobert vincentston jacklarson noelneil keeganjoyc jordanabeatti jonpet gilbertadl bryans",211
